Affy_ID	T0_1	KCl_1_3m	KCl_1_6m	KCl_1_9m	KCl_1_12m	KCl_1_15m	KCl_1_20m	T0_2	KCl_2_3m	KCl_2_6m	KCl_2_9m	KCl_2_12m	KCl_2_15m	KCl_2_20m	T0_1	KNO3_1_3m	KNO3_1_6m	KNO3_1_9m	KNO3_1_12m	KNO3_1_15m	KNO3_1_20m	T0_2	KNO3_2_3m	KNO3_2_6m	KNO3_2_9m	KNO3_2_12m	KNO3_2_15m	KNO3_2_20m
AT5G11510	156.8229175	140.3063445	157.8284578	177.5489782	155.230812	212.7395062	185.1437076	159.1446723	114.4948717	118.4949597	133.2186326	182.9440532	144.0386032	205.8042396	156.8229175	154.2200869	318.5542486	189.086589	265.7152851	215.5991839	194.6680091	159.1446723	133.9670081	276.0741682	194.0849109	394.9783323	185.1717961	158.5816794
AT5G15830	259.1474614	86.61318308	157.277538	300.9506686	205.6546236	287.1830784	259.0125253	302.8368601	131.1254055	180.9372064	370.0581094	191.9345412	323.8099713	179.2472178	259.1474614	27.40247569	290.4076298	401.0456502	462.9700168	947.6100515	1333.999198	302.8368601	142.4338329	143.8677429	323.9198885	818.0002968	544.0527361	1253.309816
AT5G16770	229.0518859	530.6616478	598.885306	198.9528621	271.5297725	306.0735609	172.5180001	203.4559169	501.3968467	488.3877107	270.1866453	289.9519271	287.5477145	173.8892422	229.0518859	251.6810191	682.9408106	182.9405247	188.2641525	209.4179653	207.5574956	203.4559169	345.7055101	592.6211516	250.9292155	270.7513413	267.7918273	181.6145199
AT5G17300	286.145584	224.1161823	229.2297826	229.7438615	241.3327296	271.6881883	177.7333563	200.592279	176.2064909	248.8580515	338.2124699	228.1718037	291.9262816	171.3789808	286.145584	258.4369415	110.7491082	216.8770727	187.7153854	242.5714141	189.789831	200.592279	184.6569904	118.3706035	181.4430393	208.2253163	225.3995254	178.6027249
AT5G22570	43.25064944	49.80808215	49.70922665	73.55107421	69.18885254	58.87885761	126.133607	36.76011844	41.6516943	152.1465801	69.76617595	103.2526574	54.64289373	144.0224232	43.25064944	57.86820846	116.8585307	94.80454761	84.27784305	225.2130215	132.6053933	36.76011844	53.95431839	94.04095023	97.26015272	176.569372	124.7109318	175.0324693
AT5G58900	543.5835706	211.0096735	177.1321093	418.0533569	372.9395632	309.3440023	427.5463849	447.1240589	374.7760408	194.1782185	471.0104042	423.972677	431.6725177	392.8413094	543.5835706	252.371977	266.0978305	591.8516782	640.5448561	490.7347644	842.1141344	447.1240589	246.7010958	197.942487	485.8824891	994.8961687	583.2100588	828.643279
AT5G61420	310.2621332	102.3260937	259.2868333	304.6450586	242.4757715	221.6083122	332.9435111	291.4414001	177.0843455	283.6510046	170.0577627	266.6591891	220.4141836	317.9356944	310.2621332	321.5116356	369.34429	279.9926719	302.0813502	382.6289929	411.8586341	291.4414001	264.7497982	308.3102478	330.8507253	380.5153628	300.5980348	407.1014555
AT5G65210	1004.883412	710.5591154	723.0048818	1013.113822	1385.692355	1296.756068	1243.209202	838.3149285	491.7825879	733.2953051	911.431802	1116.989518	1104.052757	1089.834916	1004.883412	793.3804743	773.5461488	1233.309644	1546.06405	2743.633715	2579.90317	838.3149285	641.1252838	736.362899	1202.949567	1799.025802	2216.426811	2566.557586
AT5G65640	1339.429822	800.5188029	821.4008183	1353.073448	911.343879	919.3201104	694.1369908	1155.442817	889.2688822	945.2645468	1232.720422	1202.231893	1239.560514	796.1161915	1339.429822	1500.723301	961.9970916	838.3458474	949.7709526	740.1097575	869.2099525	1155.442817	2351.564691	778.5466824	889.2289341	727.7877846	820.8615776	836.3745217
AT1G08090	2748.427828	1191.838242	2224.363524	2192.357729	4210.110304	2547.143526	4910.43536	3477.238555	2308.132188	2397.468454	1710.269005	4159.484626	2378.009386	4588.278635	2748.427828	2497.545794	2766.985099	3849.262977	5971.360897	8139.17238	6844.261374	3477.238555	2591.408497	3350.059919	4810.218689	9442.097665	9619.493125	8142.78398
AT1G12110	828.5709128	342.3405963	522.5306008	653.5436526	569.0472036	797.7398395	545.6403831	719.7764144	283.6371534	271.6759573	563.0724171	610.4349055	1016.912072	583.1686351	828.5709128	408.0055784	343.9924848	775.9870088	852.2562511	1320.279559	1240.225802	719.7764144	384.576558	288.8230992	668.4235619	412.7001195	1032.342232	1344.243094
